TradeDate,RIC,SecurityDescription,Rate,Tenor,MaturityDate
2023-08-23,JPYSWOIS=,Japanese Yen Spot Week TONAR Overnight Index Swap,-0.07750000059604645,SW,2023-09-01
2023-08-23,JPY1MOIS=,Japanese Yen 1 Month TONAR Overnight Index Swap,-0.0763000026345253,1M,2023-09-25
2023-08-23,JPY2MOIS=,Japanese Yen 2 Month TONAR Overnight Index Swap,-0.07689999788999557,2M,2023-10-25
2023-08-23,JPY3MOIS=,Japanese Yen 3 Month TONAR Overnight Index Swap,-0.07010000199079514,3M,2023-11-27
2023-08-23,JPY4MOIS=,Japanese Yen 4 Month TONAR Overnight Index Swap,-0.06629999727010727,4M,2023-12-25
2023-08-23,JPY5MOIS=,Japanese Yen 5 Month TONAR Overnight Index Swap,-0.058800000697374344,5M,2024-01-25
2023-08-23,JPY6MOIS=,Japanese Yen 6 Month TONAR Overnight Index Swap,-0.04879999905824661,6M,2024-02-26
2023-08-23,JPY9MOIS=,Japanese Yen 9 Month TONAR Overnight Index Swap,-0.02630000002682209,9M,2024-05-27
